match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445451,2023-09-24T14:30:00Z,FINISHED,1603,,1103,GD Chaves,9136,CF Estrela da Amadora,Draw,2,2
445453,2023-09-24T17:00:00Z,FINISHED,1603,,5601,Portimonense SC,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,1,3
445454,2023-09-24T19:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,810,Boavista FC,Sporting Clube de Braga,4,1
445455,2023-09-25T19:15:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,496,Rio Ave FC,Sporting Clube de Portugal,2,0
445458,2023-09-28T19:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5613,Sporting Clube de Braga,Sporting Clube de Braga,2,4
445456,2023-09-29T19:15:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,503,FC Porto,Sport Lisboa e Benfica,1,0
445461,2023-09-30T14:30:00Z,FINISHED,1603,,5589,FC Vizela,5601,Portimonense SC,Portimonense SC,2,3
445457,2023-09-30T17:00:00Z,FINISHED,1603,,810,Boavista FC,5531,FC Famalicão,Draw,2,2
445463,2023-09-30T19:30:00Z,FINISHED,1603,,5602,SC Farense,498,Sporting Clube de Portugal,Sporting Clube de Portugal,2,3
445459,2023-10-01T14:30:00Z,FINISHED,1603,,712,FC Arouca,1103,GD Chaves,GD Chaves,0,2
445464,2023-10-01T17:00:00Z,FINISHED,1603,,5543,Vitória SC,582,GD Estoril Praia,Vitória SC,3,2
445460,2023-10-01T19:30:00Z,FINISHED,1603,,496,Rio Ave FC,583,Moreirense FC,Moreirense FC,0,4
445462,2023-10-02T19:15:00Z,FINISHED,1603,,5533,Gil Vicente FC,6618,Casa Pia AC,Gil Vicente FC,2,0
445467,2023-10-06T19:15:00Z,FINISHED,1603,,583,Moreirense FC,810,Boavista FC,Draw,1,1
445469,2023-10-07T14:30:00Z,FINISHED,1603,,1103,GD Chaves,5533,Gil Vicente FC,GD Chaves,4,2
445471,2023-10-07T14:30:00Z,FINISHED,1603,,5602,SC Farense,5589,FC Vizela,Draw,0,0
445472,2023-10-07T17:00:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,496,Rio Ave FC,Sporting Clube de Braga,2,1
445470,2023-10-07T19:30:00Z,FINISHED,1603,,582,GD Estoril Praia,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,0,1
445465,2023-10-08T14:30:00Z,FINISHED,1603,,6618,Casa Pia AC,9136,CF Estrela da Amadora,CF Estrela da Amadora,0,1
445466,2023-10-08T14:30:00Z,FINISHED,1603,,5531,FC Famalicão,5543,Vitória SC,Vitória SC,1,3
445468,2023-10-08T17:00:00Z,FINISHED,1603,,503,FC Porto,5601,Portimonense SC,FC Porto,1,0
